N;Tempo de Execução
2;0m0,001s
4;0m0,001s
8;0m0,002s
16;0m0,003s
32;0m0,008s
64;0m0,020s
128;0m0,053s
256;0m0,098s
512;0m0,345s
1024;0m1,299s
